id,name,type,sex,height,land,peakvalue
tsg11,Angelino,1,195,122,NA,I
tsg13,Angelo Stiller,1,195,60,NA,C
tsg14,Christoph Baumgartner,1,195,196,NA,G
tsg16,Sebastian Rudy,1,195,204,NA,E
tsg17,Thomas Delaney,1,195,104,NA,H
tsg19,Kasper Dolberg,1,195,3,NA,G
tsg20,Finn Ole Becker,1,195,183,NA,A
tsg22,Kevin Vogt,1,195,29,NA,F
tsg23,John Anthony Brooks,1,195,35,NA,E
tsg25,Kevin Akpoguma,1,195,107,NA,E
tsg26,Eduardo Quaresma,1,195,178,NA,C
tsg27,Andrej Kramaric,1,195,214,NA,I
tsg29,Robert Skov,1,195,173,NA,E
tsg3,Pavel Kaderabek,1,195,179,NA,F
tsg34,Stanley Nsoki,1,195,149,NA,E
tsg35,Muhammed Damar,1,195,170,NA,A
tsg39,Tom Bischof,1,195,196,NA,A
tsg4,Ermin Bicakcic,1,195,204,NA,B
tsg40,Umut Tohumcu,1,195,196,NA,A
tsg44,Fisnik Asllani,1,195,66,NA,A
tsg5,Ozan Kabak,1,195,77,NA,I
tsg6,Grischa Proemel,1,195,196,NA,C
tsg7,Jacob Bruun Larsen,1,195,38,NA,F
tsg8,Dennis Geiger,1,195,196,NA,E
tsg9,Ihlas Bebou,1,195,72,NA,F
tsgj,TSG Hoffenheim Jugend,2,196,NA,GER,NA
turk,Turkgucu Muenchen,2,220,NA,GER,NA
twen,Twente Enschede,2,197,NA,NED,NA
twl,TWL Elektra,2,198,NA,POL,NA
uha,SpVgg Unterhaching,2,199,NA,GER,NA
ura,Urawa Reds,2,200,NA,JAP,NA
vafc,Valenciennes FC,2,201,NA,FRA,NA
vanw,Vancouver Whitecaps,2,202,NA,CAN,NA
vfb,VfB Stuttgart,2,203,NA,GER,NA
vfb1,Florian Mueller,1,203,74,NA,D
vfb10,Tiago Tomas,1,203,178,NA,C
vfb11,Juan Jose Perea,1,203,148,NA,A
vfb14,Silas Katompa Mvumpa,1,203,147,NA,G
vfb15,Pascal Stenzel,1,203,38,NA,C
vfb16,Atakan Karazor,1,203,29,NA,B
vfb17,Genki Haraguchi,1,203,200,NA,B
vfb2,Waldemar Anton,1,203,86,NA,E
vfb20,Luca Pfeiffer,1,203,181,NA,B
vfb21,Hiroki Ito,1,203,99,NA,C
vfb22,Chris Fuehrich,1,203,163,NA,B
vfb23,Dan Axel Zagadou,1,203,149,NA,I
vfb24,Borna Sosa,1,203,214,NA,G
vfb25,Lilian Egloff,1,203,204,NA,A
vfb27,Alou Kuol,1,203,42,NA,A
vfb28,Nikolas Nartey,1,203,104,NA,A
vfb3,Wataru Endo,1,203,172,NA,D
vfb31,Gil Dias,1,203,11,NA,B
vfb33,Fabian Bredlow,1,203,152,NA,A
vfb34,Omer Beyaz,1,203,68,NA,A
vfb36,Laurin Ulrich,1,203,204,NA,A
vfb37,Antonis Aidonis,1,203,204,NA,A
vfb39,Thomas Kastanaras,1,203,204,NA,A
vfb4,Josha Vagnoman,1,203,96,NA,B
vfb5,Konstantinos Mavropanos,1,203,175,NA,F
vfb7,Tanguy Coulibaly,1,203,149,NA,C
vfb8,Enzo Millot,1,203,11,NA,A
vfb9,Serhou Guirassy,1,203,182,NA,E
vfbj,VfB Stuttgart Jugend,2,204,NA,GER,NA
vfra,VfR Aalen,2,205,NA,GER,NA
vik,Viking FK,2,206,NA,NOR,NA
vit,Vitesse Arnheim,2,223,NA,NED,NA
vol,FC Volendaam,2,207,NA,NED,NA
wad,Wadi Degla,2,208,NA,POL,NA
whu,West Ham United,2,209,NA,ENG,NA
wig,Wigry Suwalki,2,238,NA,POL,NA
wis,Wisla Plock,2,244,NA,POL,NA
wob,VfL Wolfsburg,2,210,NA,GER,NA
wob1,Koen Casteels,1,210,106,NA,E
wob10,Lukas Nmecha,1,210,122,NA,F
wob12,Pavao Pervan,1,210,198,NA,A
wob16,Jakub Kaminski,1,210,109,NA,D
wob2,Kilian Fischer,1,210,128,NA,A
wob20,Ridle Baku,1,210,74,NA,G
wob22,Felix Nmecha,1,210,122,NA,B
wob23,Jonas Wind,1,210,104,NA,E
wob27,Maximilian Arnold,1,210,211,NA,F
wob29,Joshua Guilavogui,1,210,12,NA,E
wob3,Sebastiaan Bornauw,1,210,5,NA,E
wob31,Yannik Gerhardt,1,210,103,NA,E
wob32,Mattias Svanberg,1,210,120,NA,E
wob33,Omar Marmoush,1,210,208,NA,C
wob38,Bartol Franjic,1,210,214,NA,C
wob39,Patrick Wimmer,1,210,18,NA,D
wob4,Maxence Lacroix,1,210,176,NA,H
wob40,Kevin Paredes,1,210,49,NA,B
wob5,Micky van de Veen,1,210,207,NA,D
wob6,Paulo Otavio,1,210,14,NA,D
wob7,Luca Waldschmidt,1,210,170,NA,G
wobj,VfL Wolfsburg Jugend,2,211,NA,GER,NA
ybb,Young Boys Bern,2,212,NA,SUI,NA
yok,Yokkaichi Highschool,2,213,NA,JAP,NA
zag,Dinamo Zagreb,2,214,NA,CRO,NA
zapr,Inter Zapresic,2,215,NA,CRO,NA
zaw,Zawisza Bydgoszcz,2,216,NA,POL,NA
zwo,PEC Zwolle,2,217,NA,NED,NA
