id,name,type,sex,height,land,peakvalue
gel4,Maya Yoshida,1,80,131,NA,C
gel40,Sebastian Polter,1,80,211,NA,A
gel41,Henning Matriciani,1,80,115,NA,A
gel5,Sepp van den Berg,1,80,217,NA,C
gel6,Tom Krauss,1,80,152,NA,C
gel8,Danny Latza,1,80,81,NA,C
gel9,Simon Terodde,1,80,52,NA,B
gelj,FC Schalke 04 Jugend,2,81,NA,GER,NA
gomb,Gombe United,2,237,NA,NIG,NA
goz,Gozzano,2,82,NA,ITA,NA
graa,De Graafschap Doetinchem,2,83,NA,NED,NA
gran,FC Granada,2,250,NA,ESP,NA
graz,Sturm Graz,2,84,NA,AUT,NA
gui,Vittoria Guimaraes,2,230,NA,POR,NA
habi,VfB Habinghorst,2,85,NA,GER,NA
han,Hannover 96,2,86,NA,GER,NA
have,TSV Havelse,2,87,NA,GER,NA
hee,SC Heerenveen,2,88,NA,NED,NA
heid,1 FC Heidenheim,2,89,NA,GER,NA
hern,Westfalia Herne,2,90,NA,GER,NA
hfc,Hallescher FC,2,243,NA,GER,NA
hhs,Higashiyama Highschool,2,91,NA,JAP,NA
hif,Hammarby IF,2,228,NA,SWE,NA
hoed,IL Hoedd,2,92,NA,NOR,NA
hol,Holstein Kiel,2,234,NA,GER,NA
hori,ASK Horitschon,2,93,NA,AUT,NA
hors,AC Horsens,2,94,NA,DEN,NA
hro,Hansa Rostock,2,95,NA,GER,NA
hsv,Hamburger SV,2,96,NA,GER,NA
hull,Hull City FC,2,225,NA,ENG,NA
ind,Indepidiente del Valle,2,97,NA,ECU,NA
inte,Internacional Porto Alegre,2,98,NA,BRA,NA
iwa,Jubilo Iwata,2,99,NA,JAP,NA
kaw,Kawasaki Frontale,2,100,NA,JAP,NA
kaz,Rubin Kazan,2,229,NA,RUS,NA
kiel,Korona Kielce,2,252,NA,POL,NA
kirc,VfL Kirchheim,2,101,NA,GER,NA
koe,1. FC Koeln,2,102,NA,GER,NA
koe1,Timo Horn,1,102,103,NA,E
koe11,Florian Kainz,1,102,84,NA,B
koe13,Marc Uth,1,102,103,NA,G
koe14,Jonas Hector,1,102,16,NA,F
koe15,Luca Kilian,1,102,38,NA,B
koe17,Kingsley Schindler,1,102,86,NA,B
koe19,Dimitrios Limnios,1,102,15,NA,B
koe2,Benno Schmitz,1,102,60,NA,B
koe20,Marvin Schwaebe,1,102,170,NA,B
koe21,Steffen Tigges,1,102,142,NA,B
koe23,Sargis Adamyan,1,102,95,NA,B
koe24,Julian Chabot,1,102,152,NA,A
koe25,Tim Lemperle,1,102,103,NA,A
koe27,Davie Selke,1,102,190,NA,F
koe28,Ellyes Skhiri,1,102,126,NA,E
koe29,Jan Thielmann,1,102,103,NA,D
koe3,Kristian Pedersen,1,102,22,NA,B
koe33,Florian Dietz,1,102,48,NA,A
koe37,Linton Mai,1,102,86,NA,D
koe4,Timo Huebers,1,102,86,NA,C
koe47,Mathias Olesen,1,102,103,NA,A
koe48,Justin Diehl,1,102,103,NA,A
koe5,Nikola Soldo,1,102,215,NA,A
koe6,Eric Martel,1,102,152,NA,B
koe7,Dejan Ljubicic,1,102,162,NA,D
koe8,Denis Huseinbasic,1,102,138,NA,A
koe9,Sebastian Andersson,1,102,6,NA,C
koej,1 FC Koeln Jugend,2,103,NA,GER,NA
kop,FC Kopenhagen,2,104,NA,DEN,NA
kral,Hradec Kralove,2,105,NA,CZE,NA
krc,KRC Genk,2,106,NA,BEL,NA
ksc,Karlsruher SC,2,107,NA,GER,NA
kun,Korea University,2,108,NA,KOR,NA
lau,FC Lausanne,2,254,NA,SUI,NA
lech,Lech Posen,2,109,NA,POL,NA
leix,Leixoes SC,2,110,NA,POR,NA
len,RC Lens,2,111,NA,FRA,NA
lev,Bayer 04 Leverkusen,2,112,NA,GER,NA
lev1,Lukas Hradecky,1,112,194,NA,E
lev10,Kerem Demirbay,1,112,38,NA,I
lev11,Nadiem Amiri,1,112,196,NA,G
lev12,Edmond Tapsoba,1,112,110,NA,I
lev14,Patrik Schick,1,112,179,NA,J
lev17,Callum Hudson Odoi,1,112,43,NA,I
lev19,Moussa Diaby,1,112,149,NA,K
lev20,Charles Aranguiz,1,112,45,NA,E
lev21,Amine Adli,1,112,193,NA,E
lev22,Daley Sinkgraven,1,112,88,NA,D
lev23,Adam Hlozek,1,112,179,NA,F
lev24,Timothy Fosu Mensah,1,112,123,NA,C
lev25,Exequiel Palacios,1,112,158,NA,G
lev27,Florian Wirtz,1,112,103,NA,L
lev3,Piero Hincapie,1,112,97,NA,G
lev30,Jeremie Frimpong,1,112,122,NA,G
lev32,Ayman Azhil,1,112,113,NA,A
lev38,Karim Bellarabi,1,112,54,NA,G
lev4,Jonathan Tah,1,112,96,NA,I
lev40,Andrey Lunev,1,112,191,NA,E
lev5,Mitchell Bakker,1,112,3,NA,E
lev6,Odilon Koussounou,1,112,10,NA,G
lev8,Robert Andrich,1,112,35,NA,E
lev9,Sardar Azmoun,1,112,168,NA,G
levj,Bayer 04 Leverkusen Jugend,2,113,NA,GER,NA
lil,Lille OSC,2,114,NA,FRA,NA
lipp,SV Lippstadt,2,115,NA,GER,NA
lust,Austria Lustenau,2,116,NA,AUT,NA
luz,FC Luzern,2,117,NA,SUI,NA
lyn,Lyngby BK,2,118,NA,DEN,NA
macc,Maccabi Tel Aviv,2,119,NA,ISR,NA
maff,Malmo FF,2,120,NA,SWE,NA
mala,FC Malaga,2,121,NA,ESP,NA
manc,Manchester City,2,122,NA,ENG,NA
manu,Manchester United,2,123,NA,ENG,NA
met,FC Metz,2,124,NA,FRA,NA
mli,AD Municipal Liberia,2,125,NA,CRI,NA
mont,Montpellier HSC,2,126,NA,FRA,NA
mtk,MTK Budapest,2,127,NA,HUN,NA
mu60,1860 München,2,128,NA,GER,NA
muns,Preussen Muenster,2,129,NA,GER,NA
naci,Nacional,2,130,NA,URU,NA
nag,Nagoya Crampus,2,131,NA,JAP,NA
nan,FC Nantes,2,132,NA,FRA,NA
naz,Maccabi Ahi Nazareth,2,236,NA,ISR,NA
nied,SuS Niederschelden,2,133,NA,GER,NA
niz,OGC Nizza,2,134,NA,FRA,NA
nkd,NK Dubrava,2,135,NA,CRO,NA
nyfc,New York City FC,2,136,NA,USA,NA
obk,Odense BK,2,137,NA,DEN,NA
off,Kickers Offenbach,2,138,NA,GER,NA
ol,Olympique Lyon,2,139,NA,FRA,NA
olpi,Olympiakos Piraus,2,140,NA,GRE,NA
ols,Tempo 25 Olsztyn,2,141,NA,POL,NA
osna,VfL Osnabrueck,2,142,NA,GER,NA
ostr,Banik Ostrau,2,143,NA,CZE,NA
pac,Paradou AC,2,144,NA,ALG,NA
pan,Panathinaikos Athen,2,242,NA,GRE,NA
paok,PAOK Saloniki,2,145,NA,GRE,NA
part,Partizan Belgrad,2,146,NA,SRB,NA
pasg,PAS Giannina,2,241,NA,GRE,NA
pay,Paysandu FC,2,221,NA,BRA,NA
pfc,Paris FC,2,147,NA,FRA,NA
pne,Preston North End,2,222,NA,ENG,NA
prt,FC Porto,2,148,NA,POR,NA
psg,Paris St Germain,2,149,NA,FRA,NA
psv,PSV Eindhoven,2,256,NA,NED,NA
pus,Puskas AFC,2,150,NA,HUN,NA
raja,Raja Casablanca,2,251,NA,MAR,NA
rbl,Red Bull Leipzig,2,151,NA,GER,NA
rbl1,Peter Gulacsi,1,151,127,NA,E
rbl10,Emil Forsberg,1,151,187,NA,H
rbl11,Timo Werner,1,151,204,NA,L
rbl13,Orjan Nyland,1,151,92,NA,B
rbl16,Lukas Klostermann,1,151,29,NA,I
rbl17,Dominik Szoboszlai,1,151,153,NA,I
rbl18,Christopher Nkunku,1,151,149,NA,L
rbl19,Andre Silva,1,151,148,NA,J
rbl2,Mohamed Simakan,1,151,185,NA,H
rbl21,Janis Blaswich,1,151,27,NA,A
rbl22,David Raum,1,151,76,NA,H
rbl23,Marcel Halstenberg,1,151,86,NA,G
rbl24,Xaver Schlager,1,151,153,NA,H
rbl25,Sanoussy Ba,1,151,152,NA,A
rbl27,Konrad Laimer,1,151,153,NA,H
rbl32,Josko Gvardiol,1,151,214,NA,L
rbl37,Abdou Diallo,1,151,11,NA,I
rbl39,Benjamin Henrichs,1,151,113,NA,F
rbl4,Willi Orban,1,151,61,NA,F
rbl44,Kevin Kampl,1,151,113,NA,G
rbl7,Dani Olmo,1,151,20,NA,J
rbl8,Amadou Haidara,1,151,19,NA,G
